epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.483,2.52537,3.57487,1.98458,0.49222,0.60557,0.54707,0.3036,1.4992,1.58866,1.31906,0.00332928,0.00332928,0.00332928
2,457.959,2.31619,3.08033,1.80457,0.53534,0.57252,0.54771,0.30581,1.55442,1.70798,1.35682,0.00659665,0.00659665,0.00659665
3,678.614,2.34743,3.11699,1.80771,0.53943,0.4492,0.47767,0.2484,1.60572,1.97988,1.38048,0.00979803,0.00979803,0.00979803
4,897.785,2.39194,3.19816,1.83886,0.73297,0.37524,0.44819,0.23548,1.66026,2.0427,1.44724,0.009703,0.009703,0.009703
5,1116.62,2.29875,3.05379,1.7846,0.54682,0.63096,0.59014,0.33044,1.52976,1.57551,1.3607,0.009604,0.009604,0.009604
6,1335.81,2.28681,3.02936,1.78519,0.6946,0.56717,0.56725,0.31255,1.52654,1.66973,1.38087,0.009505,0.009505,0.009505
7,1555.33,2.28827,3.04775,1.77804,0.79222,0.54079,0.61151,0.3416,1.52332,1.68838,1.37757,0.009406,0.009406,0.009406
8,1774.06,2.20157,2.90143,1.73663,0.62696,0.59031,0.64705,0.36261,1.51166,1.60071,1.39091,0.009307,0.009307,0.009307
9,1992.52,2.20136,2.9095,1.7417,0.58746,0.51501,0.57969,0.34406,1.45147,1.76514,1.3381,0.009208,0.009208,0.009208
10,2210.29,2.17286,2.88376,1.73473,0.55614,0.57457,0.62189,0.35022,1.49653,1.5548,1.35853,0.009109,0.009109,0.009109
11,2427.59,2.15745,2.88071,1.7326,0.73515,0.52886,0.5672,0.32994,1.44822,1.62279,1.34847,0.00901,0.00901,0.00901
12,2644.78,2.13155,2.81805,1.71334,0.77413,0.54157,0.61332,0.35913,1.43808,1.56619,1.33355,0.008911,0.008911,0.008911
13,2862.67,2.11583,2.78575,1.70149,0.57092,0.61884,0.64822,0.37791,1.46364,1.55068,1.3501,0.008812,0.008812,0.008812
14,3080.44,2.09497,2.76808,1.69374,0.61174,0.59804,0.64136,0.38142,1.433,1.5557,1.34426,0.008713,0.008713,0.008713
15,3299.71,2.07994,2.74419,1.68385,0.58482,0.64831,0.68114,0.40287,1.42867,1.41919,1.32062,0.008614,0.008614,0.008614
16,3517.89,2.03276,2.68195,1.66442,0.57169,0.59953,0.64551,0.38533,1.42837,1.54033,1.32651,0.008515,0.008515,0.008515
